technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
recovery-block,c,0,0x08edc2fbc98e0f0c,ram-symbol-bitflip,0x00000000c0dec0de,masked,781,781,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d40,0x4a0,52,19,2213261334,2212737046,completed,0,0,67,5905,5
recovery-block,c,1,0x335335a39110a250,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,511,332,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d24,0x4a0,24,13,4167482457,4167474265,completed,0,0,67,2642,5
recovery-block,c,2,0x8a8b7716eada8ffa,ram-symbol-bitflip,0x00000000c0dec0de,masked,765,765,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d3c,0x4a0,48,12,16,4112,completed,0,0,67,5905,5
recovery-block,c,3,0xec76209a5a56b5d7,ram-symbol-bitflip,0x00000000c0dec0de,masked,726,726,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d34,0x4a0,40,20,1000,1049576,completed,0,0,67,5905,5
recovery-block,c,4,0x263a1c63c8eabc06,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,529,655,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d14,0x4a0,8,11,0,2048,completed,0,0,67,1749,5
recovery-block,c,5,0x76932d4b60edd7b0,ram-symbol-bitflip,0x00000000c0dec0de,masked,637,637,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d30,0x4a0,36,21,0,2097152,completed,0,0,67,5905,5
recovery-block,c,6,0xb5c935e2d189d027,ram-symbol-bitflip,0x00000000c0dec0de,masked,572,572,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d30,0x4a0,36,13,0,8192,completed,0,0,67,5905,5
recovery-block,c,7,0x526f1fcadac1ec3e,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,742,256,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d24,0x4a0,24,22,1657206666,1653012362,completed,0,0,67,2642,5
recovery-block,c,8,0x6ba64b5124af8914,ram-symbol-bitflip,0x00000000c0dec0de,masked,305,305,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d28,0x4a0,28,3,1,9,completed,0,0,67,5905,5
recovery-block,c,9,0x0796ac5b19b54c92,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,793,369,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d10,0x4a0,4,9,281,793,completed,0,0,63,2642,5
recovery-block,c,10,0x52fa72415e63b92a,ram-symbol-bitflip,0x00000000c0dec0de,masked,242,242,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d28,0x4a0,28,31,1,2147483649,completed,0,0,67,5905,5
recovery-block,c,11,0x88ea9d0194d02b55,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,1073742581,231,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d10,0x4a0,4,30,757,1073742581,completed,0,0,67,1757,5
recovery-block,c,12,0x98231e70ed8b036b,ram-symbol-bitflip,0x00000000c0dec0de,masked,222,222,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d28,0x4a0,28,27,1,134217729,completed,0,0,67,5905,5
recovery-block,c,13,0xb598bb5ef07cebab,ram-symbol-bitflip,0x00000000c0dec0de,masked,272,272,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d38,0x4a0,44,31,6,2147483654,completed,0,0,67,5905,5
recovery-block,c,14,0x45d3ca55f09c8c46,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,741,199,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d0c,0x4a0,0,29,1,536870913,completed,0,0,63,1641,5
recovery-block,c,15,0x454608cf44188611,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,741,724,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d14,0x4a0,8,10,0,1024,completed,0,0,67,1749,5
recovery-block,c,16,0xce2b3c40a96c33d8,ram-symbol-bitflip,0x00000000c0dec0de,masked,334,334,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d40,0x4a0,52,23,3749195121,3757583729,completed,0,0,63,5905,5
recovery-block,c,17,0x711158cbfd11695f,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,124,406,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d14,0x4a0,8,20,0,1048576,completed,0,0,68,1749,5
recovery-block,c,18,0x43e651aed23b1d10,ram-symbol-bitflip,0x00000000c0dec0de,masked,303,303,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d3c,0x4a0,48,9,16,528,completed,0,0,67,5905,5
recovery-block,c,19,0xe93e6c46a528a7ff,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,742,660,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_block_state,0x20000d1c,0x4a0,16,21,6,2097158,completed,0,0,67,1836,5
